PipeFittingID;Standard;MaterialID;PipeFittingname;Model;Type;D1;D2;Series;THK1;THK2;PN;DN;THK;Weight
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;660;;Reihe 4;17.5;;;;;288
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;660;;Reihe 5;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;660;;Reihe 6;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;660;;Reihe 7;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;660;;Reihe 8;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;711;;Reihe 1;7.1;;;;;141
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;711;;Reihe 2;10;;;;;193
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;711;;Reihe 3;12.5;;;;;247
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;711;;Reihe 4;25;;;;;472
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;711;;Reihe 5;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;711;;Reihe 6;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;711;;Reihe 7;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;711;;Reihe 8;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;76.1;;Reihe 1;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;76.1;;Reihe 2;2.9;;;;;0.52
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;76.1;;Reihe 3;3.6;;;;;0.64
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;76.1;;Reihe 4;5.6;;;;;0.96
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;76.1;;Reihe 5;7.1;;;;;1.2
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;76.1;;Reihe 6;8;;;;;1.33
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;76.1;;Reihe 7;10;;;;;1.61
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;76.1;;Reihe 8;14.2;;;;;2.15
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;762;;Reihe 1;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;762;;Reihe 2;10;;;;;222
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;762;;Reihe 3;12.5;;;;;276
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;762;;Reihe 4;25;;;;;543
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;762;;Reihe 5;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;762;;Reihe 6;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;762;;Reihe 7;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;762;;Reihe 8;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;813;;Reihe 1;8;;;;;204
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;813;;Reihe 2;10;;;;;253
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;813;;Reihe 3;12.5;;;;;323
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;813;;Reihe 4;25;;;;;620
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;813;;Reihe 5;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;813;;Reihe 6;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;813;;Reihe 7;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;813;;Reihe 8;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;864;;Reihe 1;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;864;;Reihe 2;10;;;;;286
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;864;;Reihe 3;12.5;;;;;356
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;864;;Reihe 4;25;;;;;702
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;864;;Reihe 5;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;864;;Reihe 6;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;864;;Reihe 7;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;864;;Reihe 8;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;88.9;;Reihe 1;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;88.9;;Reihe 2;3.2;;;;;0.81
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;88.9;;Reihe 3;4;;;;;1
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;88.9;;Reihe 4;5.6;;;;;1.37
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;88.9;;Reihe 5;8;;;;;1.91
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;88.9;;Reihe 6;8.8;;;;;2.07
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;88.9;;Reihe 7;11;;;;;2.52
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;88.9;;Reihe 8;16;;;;;3.43
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;914;;Reihe 1;10;;;;;324
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;914;;Reihe 2;12.5;;;;;408
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;914;;Reihe 3;20;;;;;633
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;914;;Reihe 4;25;;;;;786
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;914;;Reihe 5;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;914;;Reihe 6;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;914;;Reihe 7;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;914;;Reihe 8;;;;;;
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;1016;;Reihe 1;4;;;;;
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;1016;;Reihe 2;6.3;;;;;
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;1016;;Reihe 3;10;;;;;
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;1016;;Reihe 4;12.5;;;;;
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;1016;;Reihe 5;;;;;;
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;1016;;Reihe 6;;;;;;
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;114.3;;Reihe 1;2;;;;;0.98
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;114.3;;Reihe 2;2.6;;;;;1.26
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;114.3;;Reihe 3;2.9;;;;;1.4
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;114.3;;Reihe 4;3.6;;;;;1.73
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;114.3;;Reihe 5;6.3;;;;;2.96
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;114.3;;Reihe 6;8.8;;;;;4.03
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;139.7;;Reihe 1;2;;;;;1.49
2010;DIN EN 10253-4;S;Rohrbogen 90°;2D;A;139.7;;Reihe 2;2.6;;;;;1.93
